name,location,will_split,wont_split
"Schowalter Little and Monahan",80 Gina Pass,977043,179855
Brakus-O'Reilly,8795 Bellgrove Avenue,12322,606968
Stoltenberg and Sons,1498 Towne Trail,803319,235016
Schaefer Group,842 Steensland Road,18214,678370
Morar-Morissette,79802 Golden Leaf Crossing,452758,408017
"Predovic Champlin and Kemmer",3 Truax Court,603945,71767
Reinger Group,2387 Merchant Plaza,632137,868974
Keebler LLC,9 Fremont Lane,493009,112070
Schroeder-Wehner,1360 Petterle Crossing,126152,35950
"Reilly Koepp and Mills",51 Orin Drive,252263,364829
Gerlach-Homenick,5 Sage Parkway,385542,514975
"Wolff Ruecker and Welch",47 Crest Line Court,724368,803017
"Kuhic Gutkowski and Metz",89 Crownhardt Court,92868,380710
"Okuneva Morissette and Leuschke",58629 International Street,802131,380515
Rath-Kohler,983 Mallory Street,868152,22345
Rice LLC,12 Cherokee Trail,560984,543375
Medhurst Group,32437 Monument Trail,344430,318485
Reynolds-Hammes,94105 Bobwhite Way,307467,351165
"Crona Kshlerin and Kub",03 Oak Valley Terrace,140660,733792
Senger and Sons,887 Brown Terrace,520121,564195
Mante-Kuhlman,17814 Hanover Point,729529,888502
Bruen and Sons,480 Sachtjen Park,961768,864165
Labadie-Boyer,5 Everett Point,610359,34465
Kozey Group,746 Union Crossing,759813,568289
"Jaskolski Luettgen and Conroy",75698 High Crossing Hill,161655,929429
"Larson Carter and Feest",669 Cordelia Junction,490961,251565
Johns-Tremblay,54352 Walton Terrace,733822,39420
Williamson-Ebert,2 Mandrake Center,664043,402111
Feest and Sons,3388 Meadow Valley Parkway,136141,803292
Feil Inc,97145 Dennis Pass,959561,579886
Olson Inc,1607 Reinke Street,426470,88233
Zulauf LLC,8324 New Castle Junction,554195,992583
Nolan-Schiller,293 Jackson Point,83916,568560
"Murazik Haley and Spencer",1293 Spohn Point,215158,961769
Bailey-Murazik,443 Swallow Avenue,490588,253329
Kulas LLC,2763 Forest Run Center,280553,971975
Steuber Inc,753 Hanson Alley,663288,139549
Beahan-Monahan,7 Mallory Park,318541,781765
Rosenbaum LLC,606 Service Alley,113422,582995
"Huels Zulauf and Zboncak",303 Fisk Park,607001,344036
Beer and Sons,5890 Nancy Lane,509847,974856
"Kirlin Zboncak and Wisoky",24 Mallard Hill,641910,331136
Schiller Inc,033 Mifflin Circle,271918,370424
"Goodwin Stiedemann and Schowalter",08 Forster Plaza,737637,76589
Jerde-Emard,17369 Bunker Hill Plaza,842169,691488
Kub and Sons,83122 Heath Way,389732,671751
Pollich LLC,896 Hazelcrest Way,71166,510208
Mitchell-Beer,367 Goodland Center,402406,39457
"Aufderhar Gibson and Hahn",2082 Parkside Hill,548055,50444
"Wilkinson Crist and DuBuque",27 Old Shore Center,305047,818858
Weimann Group,2 Spaight Circle,229244,967943
"Halvorson Gorczany and Lowe",3848 Menomonie Parkway,637321,704757
Bechtelar-Halvorson,25932 Shopko Street,836610,692863
"Blanda Nitzsche and Heidenreich",43 Merchant Road,828886,503571
Bartell and Sons,2 Novick Place,120382,330567
Howell Inc,94508 Canary Center,208499,898912
Lowe-Jakubowski,4 Orin Plaza,236992,310994
Aufderhar and Sons,3 Forster Place,163852,699013
"Wisoky Friesen and Hane",460 Manitowish Parkway,719488,507783
Friesen-Feeney,32267 Forster Trail,599817,357980
Nitzsche and Sons,32681 Kenwood Alley,796745,98014
Gerhold-Stanton,9 Mcguire Center,331164,420050
"Powlowski Keeling and Will",174 Erie Way,945630,234972
"Mante Franecki and Doyle",94473 Lien Drive,473136,115756
Lind Group,5 Monterey Place,594787,291533
Homenick-Kuhic,6 Upham Parkway,847039,766555
Nader and Sons,2 Cordelia Way,596417,600104
Daniel and Sons,27901 Vera Place,747531,888131
Hilll Group,5166 Helena Court,274289,970064
Grant LLC,8984 Cardinal Plaza,62820,143211
Raynor-Emmerich,77315 Sundown Crossing,175770,711199
Rath Group,1074 Truax Road,644105,250446
"Turner Senger and Hahn",4 Sunbrook Junction,248961,349465
Schuppe-O'Kon,85031 Park Meadow Center,678276,496275
"Cummerata Waters and Ziemann",76 Bluejay Court,678555,53873
Bartoletti and Sons,929 Hansons Crossing,420914,232389
"Paucek Lindgren and Connelly",211 Kim Center,546659,348797
Hettinger-Anderson,9810 Center Crossing,337658,45675
Brakus-Fisher,08538 Fremont Terrace,956599,203437
"Goodwin Stokes and Kling",06 Daystar Alley,701592,818913
O'Keefe Inc,19 Walton Point,639394,131484
King-Kemmer,818 Northport Crossing,24555,430275
Feeney-Doyle,547 Rigney Avenue,727927,949248
"Olson Reichel and Hamill",91 Melody Court,193288,559841
"Schmidt Fadel and Howell",9 Mockingbird Parkway,439039,248877
Hammes-Schneider,7803 Westend Junction,317926,901170
"Kshlerin Hane and Hilll",5 Brentwood Point,370941,85259
"Hyatt Welch and Connelly",048 Bunting Center,152308,481124
Kozey LLC,58350 Helena Place,22204,421430
Lindgren LLC,4406 Petterle Place,749850,296315
Kerluke-Schmeler,35115 Claremont Street,554614,349674
Nolan Group,126 Mifflin Trail,46160,509601
"Stamm Bahringer and Douglas",605 Buell Plaza,533371,416183
Koss Group,31 Commercial Way,996560,604770
White-Kilback,6786 Milwaukee Hill,63595,153743
Lynch LLC,7 Union Way,318849,428348
"Waters Dietrich and Armstrong",50 Waxwing Place,255035,191313
Medhurst-Padberg,12 Buena Vista Hill,344024,968283
Dickinson Inc,113 Cardinal Avenue,64557,981238
"Emard O'Connell and Schoen",791 Norway Maple Trail,203793,507753
"Herman Hane and Hoppe",2 Kingsford Crossing,270997,755574
Langosh Inc,8 Debs Point,749447,113819
"Kovacek Murphy and Monahan",23 Russell Crossing,174129,952470
Ullrich-Glover,42 Westport Avenue,675062,742622
Cronin Inc,7 Mayfield Trail,488343,269909
Thiel-Macejkovic,0192 Loeprich Place,975237,531628
"Padberg McGlynn and Ullrich",0 Cambridge Drive,176348,509634
"Runolfsson Haley and Renner",92951 Straubel Junction,130208,419621
Rau-Johns,569 Thompson Center,584064,520869
Harris Group,13189 Service Parkway,304637,152674
"Hackett Murazik and Hoppe",9 Corben Way,699508,568424
Reinger Group,21 Warrior Street,272066,585860
Rodriguez-Boehm,940 Shoshone Place,276663,995327
Weissnat Group,7 Stoughton Pass,14015,23004
"Schoen Spinka and Koch",4 Kipling Road,444871,560604
"Bailey Schimmel and Roob",1 Springs Terrace,220943,294035
"Marvin Stanton and Rippin",475 Prairie Rose Drive,671396,82012
"Nikolaus Ryan and VonRueden",7 West Parkway,340552,366394
"Nader Turner and Corkery",16 Transport Court,261518,898559
"Oberbrunner Anderson and Morissette",91057 Almo Park,972123,485488
"Roberts Gislason and Erdman",45 Dixon Court,64460,476
Gleichner-Zemlak,87 Division Hill,205685,21826
"Fisher Jaskolski and Douglas",30 Ridgeway Terrace,380550,543553
Bergstrom-Borer,0974 Kropf Alley,612459,979983
"Anderson Streich and Stracke",83991 Oxford Pass,175727,3192
Roob-Hartmann,96 Marquette Hill,322238,757397
Auer LLC,32 Acker Avenue,235262,804593
"Johnston Spencer and Brekke",4903 Jackson Drive,814687,847591
VonRueden and Sons,8231 Buhler Lane,391225,450477
Hammes-Ondricka,62 Texas Lane,454667,575902
Harvey-Nicolas,825 Southridge Road,192064,26282
Paucek Group,1 Blackbird Plaza,638877,96516
Ebert-Witting,9 Village Pass,12888,875071
Yost Group,746 Kenwood Lane,290304,538211
Kuvalis-Ryan,20946 Thompson Circle,925171,958115
Nicolas Inc,79 Hermina Street,222216,107835
"Schumm Klein and Prohaska",9 David Road,764038,219762
"Quigley Armstrong and Stroman",8341 Glacier Hill Parkway,161022,478916
Bradtke-Waelchi,757 Steensland Parkway,675967,943436
Hermiston Inc,04661 Hermina Terrace,914795,473873
Kihn-Maggio,47 Heffernan Street,661457,742573
"O'Keefe Smith and Lockman",40355 Loeprich Park,95933,579267
Deckow and Sons,450 8th Trail,396296,649151
Lowe Group,8232 Warbler Trail,162393,912085
"Ruecker Schultz and Goldner",5852 Pennsylvania Trail,3137,61114
Boehm-Gaylord,99624 Northfield Alley,760989,379298
Boyle and Sons,70815 Scofield Hill,741900,384655
"Smith O'Kon and Bernhard",72 Schlimgen Drive,153979,895881
"Hickle Schmidt and Hagenes",12 Tony Avenue,203389,598570
Kassulke and Sons,0 Forest Dale Hill,124241,517539
Tromp LLC,07 Springs Drive,734713,162149
"Little Mayer and Lind",85 Thierer Park,466386,918430
Larson-O'Connell,079 Roth Court,749365,494433
Tillman-Haley,547 Beilfuss Pass,510177,952746
"Pollich Luettgen and Sauer",90 Briar Crest Avenue,614082,119709
Douglas-Hansen,5 Dovetail Street,330920,128234
Ziemann-Hammes,71846 Magdeline Alley,852039,140957
Lemke-Ebert,1168 Helena Parkway,155690,603897
Kilback Inc,80 Upham Point,358391,274734
"Parisian Watsica and Jacobs",9778 Cardinal Place,346779,752076
"Denesik Watsica and Harris",9555 Mcbride Circle,19809,960430
Lang Group,76 Caliangt Place,555881,124326
Franecki-Stehr,1717 Swallow Alley,304189,172806
Altenwerth LLC,7 Northfield Park,416938,143825
"Kling Witting and Johns",8647 Grim Way,703354,532825
Lemke and Sons,3210 Loeprich Pass,606907,380575
Herzog Group,8 Loeprich Hill,444690,870148
Zieme-Wolf,38632 Northridge Trail,381776,772573
Ankunding Inc,63353 Mockingbird Drive,483559,407447
Lubowitz and Sons,8520 Anderson Hill,55126,974469
"Runolfsdottir Blick and Haley",58 Bultman Circle,476847,39542
Kunde LLC,9 Crescent Oaks Place,221639,43417
Kuhlman-Cremin,22708 Mallard Circle,92424,734254
"Herman Abbott and Buckridge",470 Bunting Road,818025,48745
Cummings and Sons,354 Dakota Junction,28597,527986
"Dach Watsica and King",50755 Superior Plaza,264100,776474
Hermiston-Kshlerin,9267 Dawn Avenue,146615,795600
Waelchi-Gleichner,30906 Mendota Junction,342597,889794
McClure and Sons,9187 Mcbride Hill,776974,426741
"West Marvin and Nitzsche",6 6th Way,473663,984458
"Bauch Hegmann and Daugherty",3669 Kings Pass,235100,937011
Lindgren LLC,289 Lake View Pass,763594,804799
Homenick-Thiel,11 Vernon Lane,862178,839834
"Ullrich O'Connell and Hilll",566 Sheridan Trail,993925,197993
Marquardt Group,25 Doe Crossing Crossing,667641,900273
"Rau Kilback and Kemmer",04 Mosinee Court,84328,230202
"Smitham Morar and Jenkins",203 Kings Crossing,454633,860213
Gottlieb-Ernser,2 Upham Plaza,177354,255063
Konopelski LLC,63 Bluejay Alley,297698,884191
Collins and Sons,551 Paget Alley,194357,947021
"Dicki Lueilwitz and Wilkinson",361 Scott Alley,91143,999106
Osinski Inc,552 Bartelt Circle,968821,197568
Brekke Group,3 Monterey Point,852298,72347
Herzog Inc,98 Morningstar Drive,366949,34326
"Bergnaum Kuvalis and Pollich",7 Aberg Alley,790400,636599
"Wuckert Vandervort and Beier",8525 Maple Place,744648,338588
Satterfield-Mann,91116 Towne Crossing,48865,413373
"Bernier Fisher and Johns",7 Dapin Park,476262,295342
"Luettgen Marks and Franecki",10 Hansons Terrace,193641,755623
Powlowski-Gutmann,5632 Tony Trail,958999,340164
"Schowalter Gorczany and Hansen",62761 Quincy Plaza,537383,320165
"Green McCullough and Zulauf",5232 Becker Pass,438854,620406
Hettinger Group,2645 Haas Parkway,819344,690686
Deckow Group,98 Bellgrove Plaza,352077,184809
Hoppe-Kuvalis,215 Oneill Way,202369,725320
Abbott-Hilpert,735 Memorial Center,5018,202920
Langworth Group,2696 Linden Lane,252037,424867
Nitzsche Inc,73031 Burrows Way,33580,115231
"Erdman Mertz and Bosco",01 Carioca Lane,154064,953694
Heathcote-Cormier,6 Anhalt Terrace,851251,43342
"Hilpert Bode and Mills",0999 Merchant Road,969474,308237
Brown-Boehm,290 Eggendart Drive,549097,900564
Bergstrom-Reynolds,53 Northland Hill,188295,973647
Klocko and Sons,88236 Drewry Junction,114373,885337
"Murray Turcotte and Brakus",40300 Menomonie Way,110277,219871
"Dare Schuster and Goyette",0942 Leroy Point,184396,825492
Orn-Steuber,276 Mockingbird Way,983810,641149
"Upton Kuhn and Dach",51 John Wall Alley,939387,592160
"Mills Leffler and Reinger",794 Jenna Lane,541605,898398
